orig_url,clean_url,status,original_post_text
https://www.factcrescendo.com/the-claim-of-demolishing-the-temple-is-wrong-this-case-of-dragging-the-idol-is-a-part-of-a-tradition/,https://www.factcrescendo.com/the-claim-of-demolishing-the-temple-is-wrong-this-case-of-dragging-the-idol-is-a-part-of-a-tradition/,200,
https://www.factcrescendo.com/there-is-no-communal-angle-in-the-case-of-a-person-urinating-on-a-young-man-in-agra/,https://www.factcrescendo.com/there-is-no-communal-angle-in-the-case-of-a-person-urinating-on-a-young-man-in-agra/,200,
https://www.factcrescendo.com/this-video-of-snatching-a-phone-from-a-moving-train-has-been-digitally-edited/amp/,https://www.factcrescendo.com/this-video-of-snatching-a-phone-from-a-moving-train-has-been-digitally-edited/,200,
https://www.factcrescendo.com/video-of-a-man-named-giriraj-baghel-pehalwan-said-to-be-as-bhupesh-baghels-son/,https://www.factcrescendo.com/video-of-a-man-named-giriraj-baghel-pehalwan-said-to-be-as-bhupesh-baghels-son/,200,
https://www.factcrescendo.com/fake-video-of-olympian-wrestler-anshu-malik-goes-viral/amp/,https://www.factcrescendo.com/fake-video-of-olympian-wrestler-anshu-malik-goes-viral/,200,
https://www.factcrescendo.com/the-claim-of-muslims-entering-america-in-large-numbers-in-the-viral-video-is-misleading/,https://www.factcrescendo.com/the-claim-of-muslims-entering-america-in-large-numbers-in-the-viral-video-is-misleading/,503,
https://www.factcrescendo.com/the-video-of-puri-rath-yatra-recently-went-viral-as-chhatra-adhikar-yuva-hunkar-maharally-held-in-rajasthan/amp/,https://www.factcrescendo.com/the-video-of-puri-rath-yatra-recently-went-viral-as-chhatra-adhikar-yuva-hunkar-maharally-held-in-rajasthan/,503,
https://www.factcrescendo.com/this-viral-video-of-welcoming-us-president-joe-biden-is-edited/,https://www.factcrescendo.com/this-viral-video-of-welcoming-us-president-joe-biden-is-edited/,503,
https://www.factcrescendo.com/video-of-son-and-daughter-in-law-taking-their-elderly-mother-to-old-age-home-is-scripted/,https://www.factcrescendo.com/video-of-son-and-daughter-in-law-taking-their-elderly-mother-to-old-age-home-is-scripted/,503,
https://www.factcrescendo.com/video-of-domestic-violence-in-a-family-in-pakistan-goes-viral-with-false-claim/amp/,https://www.factcrescendo.com/video-of-domestic-violence-in-a-family-in-pakistan-goes-viral-with-false-claim/,503,
https://www.factcrescendo.com/old-video-of-pm-modis-rally-where-he-is-raising-vote-for-india-slogan-viral-on-the-internet-2/amp/,https://www.factcrescendo.com/old-video-of-pm-modis-rally-where-he-is-raising-vote-for-india-slogan-viral-on-the-internet-2/,503,
https://www.factcrescendo.com/has-muslim-country-saudi-arabia-got-a-gold-statue-of-pm-modi-made-and-installed/amp/,https://www.factcrescendo.com/has-muslim-country-saudi-arabia-got-a-gold-statue-of-pm-modi-made-and-installed/,503,
https://www.factcrescendo.com/there-was-no-painting-of-mahabharata-on-the-wall-in-the-meeting-of-pm-modi-and-biden/amp/,https://www.factcrescendo.com/there-was-no-painting-of-mahabharata-on-the-wall-in-the-meeting-of-pm-modi-and-biden/,503,
https://www.factcrescendo.com/old-video-of-pm-modis-rally-where-he-is-raising-vote-for-india-slogan-viral-on-the-internet/,https://www.factcrescendo.com/old-video-of-pm-modis-rally-where-he-is-raising-vote-for-india-slogan-viral-on-the-internet/,503,
https://www.factcrescendo.com/old-video-of-shoe-hurled-on-shivraj-singh-chauhan-shared-as-recent/amp/,https://www.factcrescendo.com/old-video-of-shoe-hurled-on-shivraj-singh-chauhan-shared-as-recent/,503,
https://www.factcrescendo.com/video-showing-injected-vegetables-is-scripted/amp/,https://www.factcrescendo.com/video-showing-injected-vegetables-is-scripted/,503,
https://www.factcrescendo.com/clipped-video-of-amit-shah-saying-manipur-issue-is-not-important-winning-election-is-viral/amp/,https://www.factcrescendo.com/clipped-video-of-amit-shah-saying-manipur-issue-is-not-important-winning-election-is-viral/,503,
