fold,majority_baseline,mbert,muril
1,0.4554,0.5571095571095571,0.6118430792005922
2,0.4554,0.5928571428571429,0.5443375277572169
3,0.4554,0.6527037319116528,0.7150000000000001
4,0.4554,0.5401584921824802,0.5097980553477935
5,0.4554,0.5219230769230769,0.6241904428496412
